Borough,ClosureType,EditDate,GISpropNum,OMPpropID,Red Sign Installed,Status,accessibility,accessibilityLevel,location,name,point,rules,system,Approx Date Closed,Approx Date Reopened,Community Board,District
Q,Partially Locked,06/21/2020 10:11:32 AM,Q356,Q356,,Reopened,false,Not Applicable,67 Ave. bet. 230 St. and 233 St.,Alley Park,POINT (-73.74597545029992 40.74698486554804),Adults Allowed,Q356-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 10:11:29 AM,411,Q-07A
B,Completely Locked,06/22/2020 04:33:34 PM,B222,B222,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"bet. Pierrepont Pl., Pierrepont St. and the BQE",Pierrepont Playground,POINT (-73.9974632200204 40.69617228376714),Adults Allowed,B222-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,302,B-02
Q,Completely Locked,06/21/2020 04:56:36 PM,Q163,Q163-21,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Shorefront Parkway And Beach 74 St,Rockaway Beach Playground,POINT (-73.80184216548952 40.586385582945695),Unknown,Q163-CPA-0003,03/31/2020 07:11:11 PM,06/21/2020 04:56:33 PM,414,Q-14
M,Completely Locked,06/22/2020 03:29:27 PM,M072,M072-03,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W 148 St & Riverside Dr,Palisades Playground,POINT (-73.95063454749473 40.829055965623226),Unknown,M072-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,109,M-14
Q,Completely Locked,06/22/2020 12:57:44 PM,Q021B,Q021B,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,McLaughlin Ave. bet. Sutro St. and Francis Lewis Blvd.,McLaughlin Playground,POINT (-73.76634505944169 40.72556914094872),Adults not allowed in some locations,Q021B-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,408,Q-08
M,Completely Locked,06/22/2020 03:44:27 PM,M159,M159,,UnderConstruction,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,7 Ave. bet. W. 150 St. and W. 151 St.,Frederick Johnson Playground,POINT (-73.93616776178548 40.824882271266105),Adults Allowed,M159-CPA-0001,03/31/2020 07:11:11 PM,,110,M-10
R,Not Lockable,06/22/2020 05:07:27 PM,R031,R031-08,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Between Park Building And Pond,Wolfe's Pond Park,POINT (-74.19099352528075 40.516073518021706),Adults not allowed in some locations,R031-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,503,R-03
M,Partially Locked,06/22/2020 10:44:20 AM,M056,M056-03,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Morningside Ave & 113 St,Morningside Park,POINT (-73.95844332901646 40.80328352195664),Adults not allowed in some locations,M056-CPA-0003,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,109,M-09
X,Completely Locked,06/22/2020 10:43:47 AM,X180,X180,,Reopened,,,Perry Ave. bet. E. 205 St. and E. 208 St,Whalen Playground,POINT (-73.87774546178804 40.874343097775174),,,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,207,X-07
M,Completely Locked,06/29/2020 12:01:29 PM,M200A,M200A,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"W. 108 St. to W. 109 St., Columbus Ave. and Amsterdam Ave.",Anibal Aviles Playground,POINT (-73.96285717221897 40.801185093933164),Adults not allowed in some locations,M200A-CPA-0001,03/31/2020 07:11:11 PM,06/29/2020 12:00:00 AM,107,M-07
X,Completely Locked,06/22/2020 10:06:59 AM,X299,X299,,Reopened,false,Not Applicable,Claremont Pkwy bet. Park Av and Washington Av,Little Claremont Playground,POINT (-73.90380432694214 40.83888890437151),Adults Allowed,X299-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,203,X-03
Q,Completely Locked,06/21/2020 06:55:59 PM,Q335,Q335,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Booth St. bet. 68 Ave. and 68 Dr.,Russell Sage Playground,POINT (-73.85156664976046 40.72413886784009),Adults Allowed,Q335-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 09:45:00 AM,406,Q-06
Q,Partially Locked,06/22/2020 01:07:06 PM,Q336,Q336,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,"Union Turnpike, Vleigh Pl., 141 St.",Judge Moses Weinstein Playground,POINT (-73.82066578668989 40.718669843866664),Adults Allowed,Q336-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,408,Q-08
X,Completely Locked,06/22/2020 10:59:48 AM,X204,X204,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Story Ave. bet. Taylor Ave. and Thieriot Ave.,Story Playground,POINT (-73.86268164098175 40.82299728387451),Adults Allowed,X204-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,209,X-09
Q,Partially Locked,06/21/2020 10:11:32 AM,Q001,Q001-04,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Horatio Pkwy & 50th Ave,Horatio Playground,POINT (-73.75356295376841 40.758672369877985),Unknown,Q001-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 10:11:29 AM,411,Q-07A
M,Partially Locked,06/23/2020 09:14:34 AM,M283,M283-02,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,"River Terr, Warren St",Nelson Rockefeller Playground,POINT (-74.01663651903074 40.716845279168524),Unknown,M283-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,101,M-01
X,Completely Locked,06/22/2020 09:58:19 AM,X113,X113,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Spofford Av bet. Faile St and Hunts Point Av,Hunts Point Playground,POINT (-73.88604608351588 40.81417818884226),Adults Allowed,X113-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,202,X-02
Q,Completely Locked,06/21/2020 03:18:49 PM,Q027,Q027-02,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,120th Ave & 238th Street,Laurelton Parkway West Playground,POINT (-73.72681290439733 40.68543801429549),Unknown,Q027-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 03:18:46 PM,413,Q-13
