Borough,ClosureType,EditDate,FeatureType,PropID,PropName,PropNum,SiteName,Status,point,Approx Date Closed,Approx Date Reopened
X,Partially Locked,06/22/2020 09:54:58 AM,Exercise Equipment,X194,Captain Rivera Playground,X194,Captain Rivera Playground,Reopened,POINT (-73.90693259459749 40.81793426718316),04/10/2020 10:08:35 AM,06/21/2020 12:00:00 AM
Q,Completely Locked,06/22/2020 05:15:15 PM,Exercise Equipment,Q099-01,Flushing Meadows Corona Park,Q099,World's Fair Playground,Reopened,POINT (-73.84590168935051 40.737521484536124),04/11/2020 06:17:56 PM,
Q,Temporary Fencing,06/21/2020 07:52:25 PM,Exercise Equipment,Q106,Daniel M. O'Connell Playground,Q106,Daniel M. O'Connell Playground,Reopened,POINT (-73.75809728732561 40.699867812350114),04/11/2020 07:01:26 PM,06/21/2020 02:30:00 PM
X,Blocked with Barricade,06/22/2020 10:28:38 AM,Exercise Equipment,X111,Cedar Playground,X111,Cedar Playground,Reopened,POINT (-73.91738859057475 40.855122235732814),04/16/2020 11:49:39 AM,06/21/2020 12:00:00 AM
R,,04/09/2020 03:20:54 PM,Exercise Equipment,R005-ZN04,Clove Lakes Park,R005,Clove Lakes Park Zone 4,Active,POINT (-74.12071163775693 40.62469636799956),,
Q,Completely Locked,06/21/2020 07:51:32 PM,Exercise Equipment,Q005-01,Baisley Pond Park,Q005,Sutphin Playground,Reopened,POINT (-73.789076327717 40.67475332511123),04/11/2020 06:54:38 PM,06/21/2020 02:30:00 PM
M,,04/15/2020 04:31:07 PM,Exercise Equipment,M099,J. Hood Wright Park,M099,J. Hood Wright Park,Active,POINT (-73.9409453399472 40.84635575138851),,
M,Blocked with Barricade,06/22/2020 05:19:04 PM,Exercise Equipment,M289,East River Esplanade,M289,East River Esplanade,Reopened,POINT (-73.96968476295301 40.745868827524944),04/10/2020 11:54:49 AM,06/21/2020 12:00:00 AM
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B295,Oxport Playground,B295,Oxport Playground,Active,POINT (-73.97624385732473 40.69760448528043),,
X,Completely Locked,06/22/2020 11:19:22 AM,Exercise Equipment,X253,Ambrosini Field,X253,Ambrosini Field,Reopened,POINT (-73.78339296334069 40.84450088586157),04/10/2020 02:15:47 PM,06/21/2020 12:00:00 AM
Q,Temporary Fencing,06/19/2020 01:59:41 PM,Exercise Equipment,Q021-03,Cunningham Park,Q021,210 St Playground,Reopened,POINT (-73.76533876072492 40.73925387400779),04/11/2020 07:21:57 PM,06/19/2020 01:59:39 PM
Q,,04/09/2020 03:18:23 PM,Exercise Equipment,Q162J01,Beach 9 Playground,Q162J01,Beach 9 Playground,Active,POINT (-73.7450264620596 40.5952950243855),,
B,,04/10/2020 04:00:56 PM,Exercise Equipment,B068,Parade Ground,B068,Parade Ground,Active,POINT (-73.96835365164006 40.65086462836489),,
B,Completely Locked,06/22/2020 01:37:56 PM,Exercise Equipment,B018-ZN03,Canarsie Park,B018,Canarsie Park Zone 3,Reopened,POINT (-73.89672470658327 40.62566473995163),04/10/2020 04:40:03 PM,06/22/2020 12:00:00 AM
M,Completely Locked,06/22/2020 04:19:21 PM,Exercise Equipment,M184,Samuel N. Bennerson 2nd Playground,M184,Samuel N. Bennerson 2nd Playground,Reopened,POINT (-73.98695384493311 40.77382394258038),04/09/2020 03:22:59 PM,06/21/2020 12:00:00 AM
B,Completely Locked,06/22/2020 02:31:33 PM,Exercise Equipment,B429,Hope Ballfield,B429,Hope Ballfield,Reopened,POINT (-73.91713545206649 40.69748404677454),05/21/2020 11:52:23 AM,06/22/2020 12:00:00 AM
X,Completely Locked,06/22/2020 11:04:19 AM,Exercise Equipment,X160,Caserta Playground,X160,Caserta Playground,Reopened,POINT (-73.85402945321134 40.837337871100985),04/10/2020 02:23:28 PM,06/21/2020 12:00:00 AM
B,Completely Locked,06/22/2020 01:39:54 PM,Exercise Equipment,B352,Curtis Playground,B352,Curtis Playground,Reopened,POINT (-73.91741522757015 40.640952081836495),04/10/2020 04:46:57 PM,06/22/2020 12:00:00 AM
X,Completely Locked,06/22/2020 09:53:27 AM,Exercise Equipment,X146,Flynn Playground,X146,Flynn Playground,Reopened,POINT (-73.91193278875865 40.82104461502767),04/10/2020 10:08:58 AM,06/21/2020 12:00:00 AM
X,Completely Locked,06/22/2020 10:55:22 AM,Exercise Equipment,X123,Noble Playground,X123,Noble Playground,Reopened,POINT (-73.87225180093814 40.83730964780272),04/10/2020 02:22:43 PM,06/21/2020 12:00:00 AM
Q,Temporary Fencing,06/23/2020 11:17:19 AM,Exercise Equipment,Q099-20,Flushing Meadows Corona Park,Q099,Albert H. Mauro Playground,Reopened,POINT (-73.82722743008128 40.72336395237862),04/11/2020 07:24:08 PM,06/23/2020 10:55:44 AM
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B151,Dome Playground,B151,Dome Playground,Active,POINT (-73.98019420844595 40.63820669295218),,
R,Completely Locked,06/23/2020 09:54:14 AM,Exercise Equipment,R090,Lieutenant John H. Martinson Playground,R090,Lieutenant John H. Martinson Playground,Reopened,POINT (-74.16264451633752 40.536862934021656),04/09/2020 03:20:54 PM,06/22/2020 12:00:00 AM
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B192,Russell Pedersen Playground,B192,Russell Pedersen Playground,Active,POINT (-74.03618079563667 40.62638149625277),,
X,Completely Locked,06/22/2020 09:52:44 AM,Exercise Equipment,X353,Yolanda García Park,X353,Yolanda Garcia Park,Reopened,POINT (-73.91380830169413 40.82310392036892),04/10/2020 10:26:40 AM,06/21/2020 12:00:00 AM
M,Completely Locked,06/19/2020 10:00:46 AM,Exercise Equipment,M144-ZN05,John V. Lindsay East River Park,M144,East River Park Zone 5,Reopened,POINT (-73.97359980806098 40.72157405944334),04/10/2020 11:58:13 AM,06/19/2020 12:00:00 AM
M,,04/09/2020 03:22:58 PM,Exercise Equipment,M042-ZN02,Inwood Hill Park,M042,Inwood Hill Park Zone 2,Active,POINT (-73.92092619021308 40.8735438456456),,
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B051,Kelly Park Playground,B051,Kelly Park Playground,Active,POINT (-73.95764201145822 40.60417856226807),,
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B275,Grady Playground,B275,Grady Playground,Active,POINT (-73.96471236516003 40.58305310479648),,
Q,Temporary Fencing,06/21/2020 07:51:32 PM,Exercise Equipment,Q413,Rochdale Park,Q413,Rochdale Park,Reopened,POINT (-73.77442324137397 40.67467071888909),04/11/2020 07:32:19 PM,06/21/2020 02:30:00 PM
Q,Completely Locked,06/21/2020 08:00:33 PM,Exercise Equipment,Q211,Maple Playground,Q211,Maple Playground,Reopened,POINT (-73.82609147065686 40.75587494967768),04/11/2020 07:28:15 PM,06/21/2020 12:30:00 PM
X,Temporary Fencing,06/22/2020 11:19:43 AM,Exercise Equipment,X039-ZN01,Pelham Bay Park,X039,Aileen Ryan Rec. Complex,Reopened,POINT (-73.82354955599097 40.848386686650926),04/10/2020 02:15:17 PM,06/21/2020 12:00:00 AM
B,Completely Locked,06/25/2020 01:57:53 PM,Exercise Equipment,B263,Sumner Playground,B263,Sumner Playground,Reopened,POINT (-73.94275920794006 40.69727573052556),04/10/2020 12:01:47 PM,06/25/2020 12:00:00 AM
Q,Temporary Fencing,06/21/2020 11:41:39 AM,Exercise Equipment,Q008-01,Brookville Park,Q008,Brookville Playground,Reopened,POINT (-73.74144047160583 40.663212483148996),04/11/2020 07:33:20 PM,06/21/2020 11:45:00 AM
Q,Completely Locked,06/21/2020 05:11:23 PM,Exercise Equipment,Q382,Cardozo Playground,Q382,Cardozo Playground,Reopened,POINT (-73.78656811018509 40.59323900596114),04/11/2020 07:36:25 PM,06/21/2020 02:30:00 PM
Q,,04/09/2020 03:18:23 PM,Exercise Equipment,Q162J,Beach 17 Playground,Q162J,Beach 17 Playground,Active,POINT (-73.74880446851114 40.59448974090656),,
B,,06/22/2020 01:36:30 PM,Exercise Equipment,B018-01,Canarsie Park,B018,Dinapoli Plgd,UnderConstruction,POINT (-73.89299093014267 40.63082565366608),,
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B106B,Lafayette Playground,B106B,Lafayette Playground,Active,POINT (-73.98528984420022 40.59450882940557),,
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B073-ZN06,Prospect Park,B073,Prospect Park Southwest Lower,Active,POINT (-73.97272036709187 40.654833000026215),,
X,Temporary Fencing,06/22/2020 09:35:51 AM,Exercise Equipment,X045-01,St. Mary's Park,X045,St Mary's Playground East,Reopened,POINT (-73.9104894866682 40.8102807321832),04/10/2020 10:05:18 AM,06/21/2020 12:00:00 AM
M,Completely Locked,06/29/2020 11:01:45 AM,Exercise Equipment,M029-01,Fort Tryon Park,M029,Jacob Javits Plgd,Reopened,POINT (-73.9344719040704 40.85890697253515),04/10/2020 11:39:34 AM,06/21/2020 12:00:00 AM
R,,04/09/2020 03:20:54 PM,Exercise Equipment,R125,Lopez Playground,R125,Lopez Playground,Active,POINT (-74.08505419557865 40.611486668526425),,
B,Completely Locked,06/22/2020 12:30:24 PM,Exercise Equipment,B246,Jerome Playground,B246,Jerome Playground,Reopened,POINT (-73.87959078888356 40.65892568763115),04/10/2020 04:59:19 PM,06/20/2020 12:00:00 AM
X,Partially Locked,06/22/2020 11:01:25 AM,Exercise Equipment,X088-ZN02,Pugsley Creek Park,X088,Pugsley Creek Park Zone 2,Reopened,POINT (-73.85224766433613 40.812510682421184),04/10/2020 02:21:54 PM,06/21/2020 12:00:00 AM
Q,Temporary Fencing,06/19/2020 02:02:20 PM,Exercise Equipment,Q129,"Phil ""Scooter"" Rizzuto Park",Q129,"Phil ""Scooter"" Rizzuto Park",Reopened,POINT (-73.82158665651203 40.69479295148475),04/11/2020 06:56:49 PM,06/19/2020 02:01:52 PM
B,Completely Locked,06/23/2020 02:55:47 PM,Exercise Equipment,B118A,St. Mary's Park,B118A,St. Mary's Park,Reopened,POINT (-73.99721990515255 40.67643122626661),04/10/2020 12:35:58 PM,06/22/2020 12:00:00 AM
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B285,Harry Maze Playground,B285,Harry Maze Playground,Active,POINT (-73.92317587764559 40.64341783868127),,
Q,Completely Locked,06/22/2020 02:25:20 PM,Exercise Equipment,Q450,Corona Golf Playground,Q450,Corona Golf Playground,Reopened,POINT (-73.85461130347079 40.747582381480434),04/11/2020 06:07:49 PM,06/22/2020 02:25:18 PM
Q,,06/21/2020 07:54:13 PM,Exercise Equipment,Q004-ZN01,Astoria Park,Q004,Astoria Park Zone 1,Reopened,POINT (-73.9250723759056 40.77673004027609),04/13/2020 03:34:45 PM,06/21/2020 01:00:00 PM
Q,Completely Locked,06/22/2020 05:15:49 PM,Exercise Equipment,Q031,Lawrence Virgilio Playground,Q031,Lawrence Virgilio Playground,Reopened,POINT (-73.91074722015503 40.74747006904619),04/11/2020 05:45:14 PM,
B,Completely Locked,06/22/2020 04:17:04 PM,Exercise Equipment,B007,Bensonhurst Park,B007,Bensonhurst Park,Reopened,POINT (-74.00130226448023 40.59651285644902),04/10/2020 11:54:36 AM,06/22/2020 12:00:00 AM
X,Completely Locked,06/22/2020 11:00:01 AM,Exercise Equipment,X204,Story Playground,X204,Story Playground,Reopened,POINT (-73.86284389189633 40.82291343539928),04/20/2020 10:59:13 AM,06/21/2020 12:00:00 AM
M,Completely Locked,06/22/2020 05:17:37 PM,Exercise Equipment,M263,Bellevue South Park,M263,Bellevue South Park,Reopened,POINT (-73.97805754866744 40.740032558826094),04/10/2020 11:52:24 AM,06/21/2020 12:00:00 AM
Q,Completely Locked,06/21/2020 07:56:32 PM,Exercise Equipment,Q474,Simeone Park,Q474,Simeone Park,Reopened,POINT (-73.85992361032712 40.740979531381065),04/11/2020 06:09:46 PM,06/21/2020 01:00:00 PM
X,,04/09/2020 03:24:38 PM,Exercise Equipment,X002-ZN05A,Bronx Park,X002,Bronx River Parkway East (South Half),Active,POINT (-73.86785687192702 40.88135843429829),,
B,,06/22/2020 04:39:12 PM,Exercise Equipment,B221,Steuben Playground,B221,Steuben Playground,Reopened,POINT (-73.96345807759882 40.69744491870467),,06/22/2020 12:00:00 AM
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B060-01,McKinley Park,B060,McKinley Park Playground,Active,POINT (-74.01686079218794 40.62638893275471),,
Q,Temporary Fencing,06/21/2020 07:12:37 PM,Exercise Equipment,Q360M,Frontera Park,Q360M,Frontera Park,Reopened,POINT (-73.8953707957513 40.72467606207501),04/11/2020 05:52:31 PM,06/21/2020 07:12:34 PM
M,Completely Locked,06/19/2020 10:01:46 AM,Exercise Equipment,M088,Tompkins Square Park,M088,Tompkins Square Park,Reopened,POINT (-73.98171294258619 40.726452065314255),04/10/2020 11:57:46 AM,06/19/2020 12:00:00 AM
B,Completely Locked,06/22/2020 02:31:08 PM,Exercise Equipment,B139,Heckscher Playground,B139,Heckscher Playground,Reopened,POINT (-73.91826823544291 40.69511490673364),04/10/2020 12:28:31 PM,06/22/2020 12:00:00 AM
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B296,Luna Playground,B296,Luna Playground,Active,POINT (-73.9784012305104 40.576094881729134),,
X,Completely Locked,06/22/2020 10:36:29 AM,Exercise Equipment,X020,Fort Independence Playground,X020,Fort Independence Playground,Reopened,POINT (-73.89490717361261 40.881891241268036),04/17/2020 01:49:58 PM,06/21/2020 12:00:00 AM
X,Completely Locked,06/22/2020 10:22:27 AM,Exercise Equipment,X108,Belmont Playground,X108,Belmont Playground,Reopened,POINT (-73.8876937082305 40.85028784349431),04/10/2020 10:28:53 AM,06/21/2020 12:00:00 AM
Q,Temporary Fencing,06/21/2020 03:20:07 PM,Exercise Equipment,Q108,Laurelton Playground,Q108,Laurelton Playground,Reopened,POINT (-73.73653220733861 40.67000054576685),04/11/2020 07:34:27 PM,06/21/2020 03:20:04 PM
M,Completely Locked,06/22/2020 04:28:09 PM,Exercise Equipment,M058-01,Marcus Garvey Park,M058,Mt. Morris East,Reopened,POINT (-73.94309751628622 40.80332603307183),04/13/2020 01:11:34 PM,06/21/2020 12:00:00 AM
Q,Completely Locked,06/22/2020 05:18:19 PM,Exercise Equipment,Q314,Fresh Meadows Playground,Q314,Fresh Meadows Playground,Reopened,POINT (-73.79618385636533 40.73411680762906),04/11/2020 07:22:56 PM,
M,Completely Locked,06/22/2020 03:34:12 PM,Exercise Equipment,M071-04,Riverside Park,M071,Neufeld Playground,Reopened,POINT (-73.98473175135972 40.78351537992661),04/15/2020 04:34:05 PM,06/21/2020 12:00:00 AM
Q,Completely Locked,06/22/2020 02:23:02 PM,Exercise Equipment,Q098,Frank D. O'Connor Playground,Q098,Frank D. O'Connor Playground,Reopened,POINT (-73.88672297251821 40.744247034275055),04/11/2020 05:51:28 PM,06/22/2020 02:22:55 PM
X,Completely Locked,06/22/2020 09:33:25 AM,Exercise Equipment,X238,Saw Mill Playground,X238,Saw Mill Playground,Reopened,POINT (-73.91937329426234 40.8089131054485),04/10/2020 10:06:45 AM,06/21/2020 12:00:00 AM
B,Partially Locked,06/22/2020 02:17:39 PM,Exercise Equipment,B258,Brevoort Playground,B258,Brevoort Playground,Reopened,POINT (-73.92276101480839 40.68047022118154),04/10/2020 12:12:20 PM,06/22/2020 12:00:00 AM
R,Completely Locked,06/22/2020 02:41:30 PM,Exercise Equipment,R068,The Big Park,R068,The Big Park,Reopened,POINT (-74.16451275113033 40.630809575715524),04/09/2020 03:20:54 PM,06/22/2020 12:00:00 AM
B,Completely Locked,06/23/2020 12:56:11 PM,Exercise Equipment,B150,Kolbert Playground,B150,Kolbert Playground,Reopened,POINT (-73.95800759867898 40.620075588722564),04/10/2020 03:58:01 PM,06/22/2020 12:00:00 AM
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B274,Bayview Playground,B274,Bayview Playground,Active,POINT (-73.88690984970518 40.63491240831661),,
X,Temporary Fencing,06/22/2020 10:29:48 AM,Exercise Equipment,X001-01,Aqueduct Walk,X001,Aqueduct Lands Plgd,Reopened,POINT (-73.90858175040887 40.85769666481753),04/13/2020 12:05:26 PM,06/21/2020 12:00:00 AM
Q,Temporary Fencing,06/21/2020 08:02:29 PM,Exercise Equipment,Q381,Francis Lewis Playground,Q381,Francis Lewis Playground,Reopened,POINT (-73.78403163148911 40.760436881932804),04/11/2020 07:29:59 PM,06/21/2020 12:30:00 PM
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B057-ZN01,Marine Park,B057,Marine Park Zone 1,Active,POINT (-73.93641201272325 40.60825051984852),,
B,Completely Locked,06/23/2020 12:55:05 PM,Exercise Equipment,B073-20,Prospect Park,B073,Harmony Playground,Reopened,POINT (-73.9769634460577 40.66346528884452),04/10/2020 03:54:00 PM,06/22/2020 12:00:00 AM
X,Completely Locked,06/22/2020 10:34:28 AM,Exercise Equipment,X038-02,Washington's Walk,X038,Fort #4 Playground,Reopened,POINT (-73.90085322643156 40.874664145208),04/09/2020 03:52:15 PM,06/21/2020 12:00:00 AM
X,,06/22/2020 09:59:27 AM,Exercise Equipment,X307,Barretto Point Park,X307,Barretto Point Park,Reopened,POINT (-73.88836438060042 40.80500094699603),04/14/2020 12:10:33 PM,06/21/2020 12:00:00 AM
M,Temporary Fencing,06/22/2020 04:23:27 PM,Exercise Equipment,M186,Col. Young Playground,M186,Col. Young Playground,Reopened,POINT (-73.93553958259542 40.81921072018359),04/13/2020 01:14:45 PM,06/21/2020 12:00:00 AM
X,Partially Locked,06/22/2020 11:10:13 AM,Exercise Equipment,X122,Colucci Playground,X122,Colucci Playground,Reopened,POINT (-73.83458247991918 40.852778619775684),04/20/2020 12:02:40 PM,06/21/2020 12:00:00 AM
M,Completely Locked,06/19/2020 10:01:05 AM,Exercise Equipment,M033,Hamilton Fish Park,M033,Hamilton Fish Park,Reopened,POINT (-73.98076555397473 40.71970263826508),04/10/2020 11:55:48 AM,06/19/2020 12:00:00 AM
B,Completely Locked,06/22/2020 01:58:18 PM,Exercise Equipment,B337,Century Playground,B337,Century Playground,Reopened,POINT (-73.97039455950755 40.577017897150675),04/10/2020 04:48:07 PM,06/22/2020 12:00:00 AM
Q,Temporary Fencing,06/21/2020 07:12:37 PM,Exercise Equipment,Q102-02,Juniper Valley Park,Q102,Juniper North Playground Tennis,Reopened,POINT (-73.87709582234879 40.720654869485145),04/11/2020 06:19:09 PM,06/21/2020 07:12:34 PM
B,Completely Locked,06/23/2020 02:56:00 PM,Exercise Equipment,B050,Van Voorhees Playground,B050,Van Voorhees Playground,Reopened,POINT (-73.99932162436835 40.69031144424675),04/10/2020 12:32:15 PM,06/22/2020 12:00:00 AM
Q,Completely Locked,06/21/2020 07:54:48 PM,Exercise Equipment,Q014,Astoria Heights Playground,Q014,Astoria Heights Playground,Reopened,POINT (-73.91174252356157 40.76042085301537),04/11/2020 05:27:29 PM,06/21/2020 01:00:00 PM
B,Completely Locked,06/22/2020 01:07:19 PM,Exercise Equipment,B387,Hilltop Playground,B387,Hilltop Playground,Reopened,POINT (-73.91433859819634 40.67532564231405),04/10/2020 05:03:14 PM,06/20/2020 12:00:00 AM
Q,Completely Locked,06/21/2020 07:49:34 PM,Exercise Equipment,Q414,Rocket Playground,Q414,Rocket Playground,Reopened,POINT (-73.84627851240839 40.6706678178842),04/11/2020 06:48:44 PM,06/21/2020 02:30:00 PM
X,Temporary Fencing,06/22/2020 09:37:20 AM,Exercise Equipment,X045-03,St. Mary's Park,X045,St Mary's Playground West,Reopened,POINT (-73.91325758564736 40.812796199974876),04/10/2020 10:05:52 AM,06/21/2020 12:00:00 AM
B,Temporary Fencing,06/22/2020 01:56:18 PM,Exercise Equipment,B169-ZN04B,Coney Island Beach & Boardwalk,B169,Coney Island Beach Zone 4b,Reopened,POINT (-73.97612258859823 40.57282965851369),05/08/2020 04:10:04 PM,06/22/2020 12:00:00 AM
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B016,Maria Hernandez Park,B016,Maria Hernandez Park,Active,POINT (-73.92386340065151 40.703171443271685),,
Q,,04/09/2020 03:18:23 PM,Exercise Equipment,Q162H,Beach 30th Street Playground,Q162H,Beach 30th Street Playground,Active,POINT (-73.762489336517 40.592460653719186),,
Q,,04/11/2020 01:19:59 PM,Exercise Equipment,Q215,Whitey Ford Field,Q215,Whitey Ford Field,Active,POINT (-73.93483559589428 40.777646960436236),,
B,Completely Locked,06/29/2020 09:20:56 AM,Exercise Equipment,B100,Seth Low Playground/ Bealin Square,B100,Seth Low Playground/ Bealin Square,Reopened,POINT (-73.98636238213687 40.60813843938594),04/10/2020 03:58:34 PM,06/25/2020 12:00:00 AM
Q,,04/11/2020 07:21:17 PM,Exercise Equipment,Q021-ZN02,Cunningham Park,Q021,Cunningham Park Zone 2,Active,POINT (-73.77359003192625 40.729693740059986),,
M,Completely Locked,06/22/2020 04:23:44 PM,Exercise Equipment,M160,Fred Samuel Playground,M160,Fred Samuel Playground,Reopened,POINT (-73.93923671753906 40.81715574647379),04/13/2020 01:15:20 PM,06/21/2020 12:00:00 AM
M,,04/09/2020 03:22:58 PM,Exercise Equipment,M042-ZN04,Inwood Hill Park,M042,Inwood Hill Park Zone 4 (Dyckman Fields),Active,POINT (-73.9302748808981 40.87284181527521),,
Q,Completely Locked,06/23/2020 10:58:08 AM,Exercise Equipment,Q094,Tudor Park,Q094,Tudor Park,Reopened,POINT (-73.85212938585939 40.672622742221655),04/11/2020 06:47:41 PM,06/21/2020 12:00:00 PM
X,Completely Locked,06/22/2020 09:55:40 AM,Exercise Equipment,X216,Abigail Playground,X216,Abigail Playground,Reopened,POINT (-73.90464194387371 40.81731386925282),04/10/2020 10:07:23 AM,06/21/2020 12:00:00 AM
X,Completely Locked,06/22/2020 11:15:49 AM,Exercise Equipment,X169,Agnes Haywood Playground,X169,Agnes Haywood Playground,Reopened,POINT (-73.86181381588385 40.88029558916309),04/10/2020 02:19:45 PM,06/21/2020 12:00:00 AM
Q,Completely Locked,06/21/2020 07:05:01 PM,Exercise Equipment,Q002,Grover Cleveland Playground,Q002,Grover Cleveland Playground,Reopened,POINT (-73.91114489160016 40.710899665887816),04/11/2020 06:21:30 PM,06/21/2020 10:00:00 AM
