"borough","ClosureType","EditDate","FeatureType","PropID","PropName","PropNum","SiteName","Status","longitude","latitude","Approx.Date.Closed","Approx.Date.Reopened","button","content"
"Manhattan","Temporary Fencing","06/22/2020 04:33:41 PM","Exercise Equipment","M198","Martin Luther King, Jr. Playground","M198","Martin Luther King, Jr. Playground","Reopened",-73.950463946265,40.7998340737406,"04/15/2020 04:27:34 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Martin Luther King, Jr. Playground, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Completely Locked","06/23/2020 02:54:45 PM","Exercise Equipment","B156","Powell Playground","B156","Powell Playground","Reopened",-73.9048274855477,40.6712729401206,"04/10/2020 05:01:55 PM","06/20/2020 12:00:00 AM","AdultExerciseEquip","Powell Playground, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Staten Island","","04/09/2020 03:20:54 PM","Exercise Equipment","R109-01","CPL. Thompson Park","R109","Corporal Thompson Playground","Active",-74.11803173699,40.6389214839519,"","","AdultExerciseEquip","CPL. Thompson Park, Staten Island, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Staten Island","","04/09/2020 03:20:54 PM","Exercise Equipment","R106-ZN03","Bloomingdale Park","R106","Bloomingdale Park Zone 3","Active",-74.2094651280486,40.5330258685885,"","","AdultExerciseEquip","Bloomingdale Park, Staten Island, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Completely Locked","06/23/2020 02:57:09 PM","Exercise Equipment","B267","Winthrop Playground","B267","Winthrop Playground","Reopened",-73.9543692775413,40.6565696247225,"04/10/2020 01:01:20 PM","06/22/2020 12:00:00 AM","AdultExerciseEquip","Winthrop Playground, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Temporary Fencing","06/23/2020 12:29:29 PM","Exercise Equipment","Q437","Murray Hill Playground","Q437","Murray Hill Playground","Reopened",-73.8118304318151,40.76166701383,"04/11/2020 07:27:49 PM","06/23/2020 12:29:28 PM","AdultExerciseEquip","Murray Hill Playground, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Completely Locked","06/23/2020 02:56:55 PM","Exercise Equipment","B193","Hamilton Metz Field","B193","Hamilton Metz Field","UnderConstruction",-73.940965200053,40.6625664067098,"04/10/2020 01:00:52 PM","","AdultExerciseEquip","Hamilton Metz Field, Brooklyn, NY<br/><b>Status: </b>UnderConstruction<br/><b>Features: </b>Exercise Equipment"
"Queens","Completely Locked","06/22/2020 05:16:50 PM","Exercise Equipment","Q205A","Big Bush Playground","Q205A","Big Bush Playground","Reopened",-73.902627972258,40.7396080387653,"04/11/2020 05:46:31 PM","","AdultExerciseEquip","Big Bush Playground, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Taped Off","06/23/2020 02:55:32 PM","Exercise Equipment","B087","Sunset Park","B087","Sunset Park","Reopened",-74.0037434059693,40.6479763020161,"04/10/2020 12:37:25 PM","06/22/2020 12:00:00 AM","AdultExerciseEquip","Sunset Park, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","Temporary Fencing","06/22/2020 09:31:09 AM","Exercise Equipment","X041","Pulaski Park","X041","Pulaski Park","Reopened",-73.924565685391,40.8052423131876,"04/13/2020 01:33:19 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Pulaski Park, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
